hi	مرحبًا
im undressing	أنا أخلع ملابسي
im very happy	أنا سعيد للغاية
im very happy	أنا سعيد جداً
im very sorry	أنا آسف جداً
ive been busy	كنت مشغولا
ive seen that	سبق و رأيت ذلك
ive seen that	لقد رأيت ذلك من قبل
if only i knew	لو أنّني كنت أعرف
is he american	أهو أمريكي؟
is he japanese	هل هو ياباني؟
is this french	هل هذه فرنسية؟
isnt it black	أليست سوداء؟
isnt it black	أليس أسوداً؟
it is saturday	هل اليوم هو السبت؟
it was a mouse	كان ذلك فأراً
its brand new	إنها جديدة
its dangerous	إنك في خطر
its hot today	الجو حار اليوم
its hot today	اليوم حار
its ready now	إنها جاهزة الأن
its the queen	إنها الملكة
its too small	إنها صغيرة جداً
its too small	إنها صغيرة جداً
its up to you	الأمر يعود إليك
its up to you	كما تريد
its very cold	إن الجو قارس
its very cold	الجو بارد جداً
its very good	هذا جيد جدا
its well done	حسنًا عُمِلَ
its your book	إنه كتابك
its your turn	إنه دورك
just follow me	اتبعني فحسب
just forget it	فقط انس الأمر
kids love dogs	الأطفال يحبّون الكلاب
leave it to me	دع الأمر لي
leave me alone	اتركني و شأني
leave me alone	دعني و شأني
leave me alone	اتركني وحيدا
let us go home	لنعُد إلى البيت
let us go home	هيا لنرجع إلى المنزل
lets hurry up	لنسرع
lets not talk	دعونا لا نتحدث
lets not talk	دعينا لا نتحدث
lets not talk	دعنا لا نتحدث
lets watch tv	لنشاهد التلفاز
lets watch tv	لنشاهد الرائي
lets watch tv	لنشاهد التلفزيون
lock the doors	أقفل الأبواب
look after tom	اعتني بتوم
louder please	من فضلك، ارفع صوتك
may i help you	هل تحتاج لمساعدة؟
may i help you	هل لي أن أساعدك؟
may i help you	أيمكنني مساعدتك؟
may i help you	هل يمكنني أن اساعدك؟
may i sit down	أيمكنني الجلوس؟
may i sit here	أيمكنني الجلوس هنا؟
may i use this	هل يمكنني استخدام هذا؟
my joints ache	مفاصلي تؤلمني
my nose itches	أنفي تريد حَكَّها
my nose itches	أنفي يحكّني؟
my tooth hurts	سني يؤلمني
now i remember	الآن تذكرت
now i remember	تذكرت الآن
only god knows	الله وحده يعلم
people like me	الناس يحبونني
please come in	تفضل بالدخول
please come in	تفضّل بالدّخول
please help me	من فضلك ساعدني
please hold on	انتظر قليلاً
prices went up	ارتفعت الأسعار
she grew roses	زرعت ورداً
she might come	ربما ستأتي
she might come	من الممكن أنها ستأتي
shes not here	هي ليست هنا
take your time	خذ وقتك
take your time	خذ وختك
tell everybody	أخبر الجميع
tell the truth	قل الحقيقة
thanks a bunch	شكرا جزيلا
thats a hotel	ذاك فندقٌ
thats a hotel	ذلك فندقٌ
thats my book	هذا كتابي
thats plastic	هذا بلاستيك
the birds sang	غردت العصافير
they all drank	كلهم سكارى
they are happy	إنهم سعداء
they are happy	هم سعداء
they hated tom	كانوا يكرهون توم
they let me go	هُم تركوني أذهب
think about it	فكر في ذلك
think about it	فكر بذلك
this is a book	هذا كتاب
this is a joke	هذه نكتة
this is my car	هذه سيارتي
ticket please	التذكرة من فضلك
ticket please	التذكرة لو سمحت
time to get up	حان وقت الإستيقاظ
tom is waiting	توم ينتظر
tom isnt here	توم ليس هنا
tom isnt home	توم ليس في البيت
tom knows that	توم يعلم ذلك
tom looks pale	يبدو توم شاحب الوجه
toms not home	توم ليس في البيت
toms the best	توم هو الأفضل
toms watching	توم يشاهد
wash your feet	اِغسل رجليك
watch the rear	راقب الجزء الخلفي 
we are at home	نحن في المنزل
we made him go	جعلناه يذهب
well find one	سنجد واحدا
well kill you	سنقتلك
were home now	نحن في المنزل الآن
were obedient	نحن مطيعون
were safe now	نحن بمأمن الآن
were safe now	نحن في أمان الآن
were students	نحن طلاب
well lets go	إذاً هيا بنا نذهب
what a big dog	يا له من كلب كبير
what about tom	ماذا عن توم؟
what do you do	ما هو عملك؟
what if i fail	ماذا لو فشلت؟
whatd you say	ماذا قلت؟
when do we eat	متى سنأكل؟
where are they	أين هم؟
where are they	أين هما؟
where is paris	أين تقع باريس؟
where were you	أين كنت؟
who broke this	من كسر هذا؟
whos that boy	من هذا الصبي؟
why do you ask	لم تسأل؟
why do you ask	لماذا تسأل؟
why is he here	لماذا هو موجود هنا؟
why is he here	لم هو هنا؟
why is he here	لماذا هو هنا؟
wipe your nose	نظف أنفك
yes i know it	نعم أعلم
yes of course	نعم، بالطبع
you are stupid	أنت أحمق
you have to go	عليك أن تذهب
you have to go	عليك الرحيل
you have to go	عليك أن ترحل
you look bored	يبدو عليك الملل
you look happy	تبدو سعيداً
you look tired	تبدو متعباً
youre kidding	لا بد أنك تمزح
youre my baby	أنت طفلي
youre welcome	عفوًا
are these yours	هل هذه الأشياء لك؟
are you at home	هل أنت في البيت؟
are you at home	هل أنت موجود في المنزل؟
are you healthy	هل صحتك جيدة؟
are you kidding	هل تَمْزَح؟
are you kidding	أأنت تمزح؟
bees make honey	يصنع النحل العسل
behave yourself	كن مؤدبًا
behave yourself	أحسن التصرف
bend your knees	اثني ركبتيك
bring him to me	أحضره إلي
call the police	اتصل بالشرطة
call the police	اطلب الشرطة
can you find it	أيمكنك أن تبحث عنها؟
can you find it	أيمكنك إيجادها؟
can you hear me	أيمكنك أن تسمعني؟
can you hear me	هل بإمكانك سماعي؟
can you help me	هل يمكنك أن تساعدني؟
clean your room	نظف غرفتك
clean your room	نظفي غرفتكِ
close your eyes	أغلق عينيك
come if you can	تعال إذا أمكنك
congratulations	مبروك
congratulations	تهانينا
congratulations	مبارك
congratulations	تهانيّ
defend yourself	دافِع عن نَفسَك
did you miss me	هل اشتقت إليّ؟
did you miss me	هل اشتقت لي؟
did you miss me	هل افتقدتني؟
do you eat meat	هل تأكل اللحم؟
do you have one	ألديك واحد؟
do you have one	هل لديك واحدة؟
do you have one	هل لديك واحد؟
do you know why	هل تعلم لماذا؟
do you like rap	أتحب موسيقى الراب؟
do you remember	أما زلت تذكر؟
do you remember	هل تتذكر؟
do you see that	هل تري هذا؟
do you think so	أتعتقد ذلك؟
does it look ok	هل تبدو بخير؟
dont come here	لا تأت هنا
dont forget us	لا تنسانا
dont look back	لا تنظر إلى الوراء
dont look back	لا تنظر إلى الخلف
dont look back	لا تنظر وراءك
dont play dumb	لا تتظاهر بالغباء
dont play here	لا تلعب هنا
drive carefully	قُد بحذر
drive carefully	سُق بحذر
enjoy your meal	بالصحة و العافية
get out of here	إخرج من هنا
give me a break	اعطني مهلة
give me the key	أعطني المفتاح
great isnt it	عظيم أليس كذلك؟
green suits you	يناسبك اللون الأخضر
he began to cry	أخذت تبكي
he got the ball	أصبحت الكرة معه
he got the ball	حصل على الكرة
he is very kind	إنه لطيف جداً
he looks strong	يبدو قوياً
he lost his job	فقد عمله
he lost his job	خسر وظيفته
he loves trains	إنه يحب القطارات
he reads arabic	هو يقرأ العربيه
he was laid off	تم طرده
he will also go	سيذهب كذلك
hes her friend	هو صديقها
hes in trouble	إنهُ في مشكلة
hes my brother	هو أخي
hes not stupid	ليس غبياً
heres the bill	تفضل الحساب
heres your dog	ها هو كلبك
hi how are you	أهلاً كيف حالك؟
how are you now	كيف حالك الآن؟
how do you know	و كيف لك أن تعرف؟
how fascinating	يا للروعة
how fascinating	كم هذا رائع
how interesting	كم هذا مثير للإهتمام
how is everyone	كيف حال الجميع؟
how is everyone	كيف حالكم جميعاً؟
how is your dad	كيف حال أبيك؟
how nice of you	كم رائع أنتَ
how nice of you	كم رائعة أنتِ
how old are you	كم عمرك؟
how rude of you	يا لوقاحتك
how rude of you	يا لك من وقح
i am from egypt	أنا من مصر
i am not afraid	أنا لست خائف
i broke a glass	كسرت كوبا
i called tom up	اتصلت بتوم
i called my dog	ناديت كلبي
i did it myself	فعلت هذا بنفسي
i didnt forget	لم أنس
i go every year	أذهب كل سنة
i hate politics	أكره السياسة
i have a sister	لدي أخت
i have no money	ليس لدي أي مال
i have no money	لدي نقود
i have ten pens	لديّ عشرة أقلام
i have to study	عليّ أن أدرس
i have two cars	عندي سيارتان
i have two sons	عندي ابنان
i hear the drum	أسمع الطبول
i heard you two	سمعتكما
i keep sneezing	أعطس كثيراً
i know his name	أعرف اسمه
i know his name	أعرف اسمه
i know the girl	أعرف تلك الصبية
i know the girl	أعرف تلك الفتاة
i like red meat	أحب اللحوم الحمراء
i like your car	تعجبني سيارتك
i live in japan	أعيش في اليابان
i live in japan	أنا أعيش في اليابان
i love to dance	أحب الرقص
i love to dance	أحب أن أرقص
i love westerns	أحب أفلام رعاة البقر
i love you too	أحبك كذلك
i must help her	يجب أن أساعدها
i must help him	عليّ أن أساعده
i need a pencil	أحتاج لقلم
i need his help	أحتاج إلى مساعدته
i need the keys	أحتاج للمفاتيح
i need to study	أحتاج إلى أن أدرس
i often see him	عادة ما أراه
i play with him	ألعب معه
i played tennis	لعبت التنس
i prefer biking	أفضّل ركوب الدرّاجة الهوائيّة
i prefer biking	أفضّل ركوب الدرّاجة
i prefer biking	أفضل ركوب الدراجة
i prefer coffee	أفضل القهوة
i read his book	أنا أقرأ كتابه
i read the book	قرأت الكتاب
i run every day	أركض كل يوم
i think its ok	أظن أنها لا بأس بها
i want a guitar	أريد قيثارة
i want a guitar	أريد الحصول على جيتار
i want a parrot	أنا أريد ببغاءًا
i want my mommy	أريد أمي
i want one too	أنا أريد واحدة، أيضا
i want one too	أريد واحداً
i want that bag	أريد تلك الحقيبة
i want to drive	أريد أن أقود
i want to learn	أريد أن أتعلّم
i want to sleep	أريد أن أنام
i went shopping	أنا ذهبت للتسوق
i will miss you	سأشتاق إليك
i work with him	أعمل معه
ill assist you	سأرافقك
ill get my bag	سوفَ أُحضرُ حقيبتي
im a night owl	أنا رجل سهر
im about ready	أنا جاهز تقريباً
im doing great	أنا بخير
im feeling fit	أشعر أني رشيق
im feeling fit	أحس بأن لياقتي عالية
im going to go	أنا ذاهب
im going to go	سأذهب الآن
im lefthanded	أنا أيسر
im not kidding	لستُ أمزح
im not thirsty	لا أشعر بالعطش
im not worried	أنا لست قلقاً
im on the list	أنا على القائمة
im only joking	أنا فقط أمزح
im reading now	أنا أقرأ الآن
im very hungry	أنا جائع جداً
im your father	أنا والدك
im your friend	انا صديقك
is dinner ready	هل العشاء جاهز؟
is it not black	أليست سوداء؟
is she japanese	هل هي يابانية؟
is she a doctor	هل هي طبيبة؟
